`AD51`	`20112012`	`Bradford, Steven`	`A`	`Bradford`	`Steven`	`Bradford`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD52`	`20112012`	`Hall, Isadore`	`A`	`Hall`	`Isadore`	`Hall`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD61`	`20112012`	`Torres, Norma J.`	`A`	`Torres`	`Norma`	`Torres`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD65`	`20112012`	`Cook, Paul J.`	`A`	`Cook`	`Paul`	`Cook`	NULL	NULL	`Assemblymember`	`Assemblymember`	`REP`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD76`	`20112012`	`Atkins, Toni`	`A`	`Atkins`	`Toni`	`Atkins`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD77`	`20112012`	`Jones, Brian W.`	`A`	`Jones`	`Brian`	`Jones`	NULL	NULL	`Assemblymember`	`Assemblymember`	`REP`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD18`	`20112012`	`Hayashi, Mary`	`A`	`Hayashi`	`Mary`	`Hayashi`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD33`	`20112012`	`Achadjian, Katcho`	`A`	`Achadjian`	`Katcho`	`Achadjian`	NULL	NULL	`Assemblymember`	`Assemblymember`	`REP`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD59`	`20112012`	`Donnelly, Tim`	`A`	`Donnelly`	`Tim`	`Donnelly`	NULL	NULL	`Assemblymember`	`Assemblymember`	`REP`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD68`	`20112012`	`Mansoor, Allan R.`	`A`	`Mansoor`	`Allan`	`Mansoor`	NULL	NULL	`Assemblymember`	`Assemblymember`	`REP`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD39`	`20112012`	`Fuentes, Felipe`	`A`	`Fuentes`	`Felipe`	`Fuentes`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`SD37`	`20112012`	`Emmerson, Bill`	`S`	`Emmerson`	`Bill`	`Emmerson`	NULL	NULL	`Senator`	`Senator`	`REP`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`AD05`	`20112012`	`Pan, Richard`	`A`	`Pan`	`Richard`	`Pan`	NULL	NULL	`Assemblymember`	`Assemblymember`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 00:00:00	`Y`
`SD15`	`20112012`	`Blakeslee, Sam`	`S`	`Blakeslee`	`Sam`	`Blakeslee`	NULL	`Ph.D.`	`Senator`	`Senator`	`REP`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`SD02`	`20112012`	`Evans, Noreen`	`S`	`Evans`	`Noreen`	`Evans`	NULL	NULL	`Senator`	`Senator`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`SD03`	`20112012`	`Leno, Mark`	`S`	`Leno`	`Mark`	`Leno`	NULL	NULL	`Senator`	`Senator`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`SD04`	`20112012`	`La Malfa, Doug`	`S`	`La Malfa`	`Doug`	`La Malfa`	NULL	NULL	`Senator`	`Senator`	`REP`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`SD05`	`20112012`	`Wolk, Lois`	`S`	`Wolk`	`Lois`	`Wolk`	NULL	NULL	`Senator`	`Senator`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`SD06`	`20112012`	`Steinberg, Darrell`	`S`	`Steinberg`	`Darrell`	`Steinberg`	NULL	NULL	`Senator`	`Senator`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
